2022-05-31 15:53:36,613 DEBUG  ROS Time: 1653983616 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2022-05-31 15:53:38,615 DEBUG  ROS Time: 1653983618 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:53:40,619 DEBUG  ROS Time: 1653983620 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:53:42,622 DEBUG  ROS Time: 1653983622 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:53:44,626 DEBUG  ROS Time: 1653983624 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:53:46,632 DEBUG  ROS Time: 1653983626 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:53:48,635 DEBUG  ROS Time: 1653983628 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:53:50,638 DEBUG  ROS Time: 1653983630 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:53:52,642 DEBUG  ROS Time: 1653983632 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:53:54,643 DEBUG  ROS Time: 1653983634 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:53:56,645 DEBUG  ROS Time: 1653983636 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:53:58,647 DEBUG  ROS Time: 1653983638 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:54:00,649 DEBUG  ROS Time: 1653983640 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:54:02,651 DEBUG  ROS Time: 1653983642 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:54:04,654 DEBUG  ROS Time: 1653983644 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:54:06,657 DEBUG  ROS Time: 1653983646 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:54:08,659 DEBUG  ROS Time: 1653983648 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:54:10,661 DEBUG  ROS Time: 1653983650 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:54:12,663 DEBUG  ROS Time: 1653983652 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:54:14,666 DEBUG  ROS Time: 1653983654 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:54:16,669 DEBUG  ROS Time: 1653983656 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:54:18,672 DEBUG  ROS Time: 1653983658 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:54:20,675 DEBUG  ROS Time: 1653983660 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:54:22,678 DEBUG  ROS Time: 1653983662 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:54:24,683 DEBUG  ROS Time: 1653983664 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:54:26,686 DEBUG  ROS Time: 1653983666 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:54:28,689 DEBUG  ROS Time: 1653983668 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:54:30,695 DEBUG  ROS Time: 1653983670 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:54:32,699 DEBUG  ROS Time: 1653983672 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:54:34,703 DEBUG  ROS Time: 1653983674 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:54:36,706 DEBUG  ROS Time: 1653983676 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:54:38,707 DEBUG  ROS Time: 1653983678 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:54:40,711 DEBUG  ROS Time: 1653983680 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:54:42,714 DEBUG  ROS Time: 1653983682 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:54:44,717 DEBUG  ROS Time: 1653983684 | active tasks: 0 | terminated tasks: 0 | active robots: 1
